id	title	description	price	condition	link	image_link	availability	brand	mpn	adult 	product_weight	shipping_weight
1001004374	AQUA Polierstift Spitzbogen  grit 600 	Diamant gebundener Schleif -und Polierstift Spitzbogen grit 600, Schaft 2,35mmZur Bearbeitung für Opale,Achate, Quarze und alle weiteren Edelsteinsorten. Nur für den Nasseinsatz! 	17.9499957 EUR	new	https://shop.aquarus.net/de/schaftwerkzeuge/steinpoliersets/aqua-polierstift-spitzbogen-grit-600 	https://shop.aquarus.net/media/images/org/1001004374-005.jpg 	in_stock	Aquarus	1001004374 	no	0.0350 kg	0.0350 kg
1001004375	AQUA Polierstift Spitzbogen  grit 1200 	Diamant gebundener Schleif -und Polierstift Spitzbogen grit 1200, Schaft 2,35mmZur Bearbeitung für Opale,Achate, Quarze und alle weiteren Edelsteinsorten. Nur für den Nasseinsatz! 	17.9499957 EUR	new	https://shop.aquarus.net/de/schaftwerkzeuge/steinpoliersets/aqua-polierstift-spitzbogen-grit-1200 	https://shop.aquarus.net/media/images/org/1001004375-005.jpg 	in_stock	Aquarus	1001004375 	no	0.0350 kg	0.0350 kg
1001004376	AQUA Polierstift Spitzbogen  grit 3000 	Diamant gebundener Schleif -und Polierstift Spitzbogen grit 3000, Schaft 2,35mmZur Bearbeitung für Opale,Achate, Quarze und alle weiteren Edelsteinsorten. Nur für den Nasseinsatz! 	17.9499957 EUR	new	https://shop.aquarus.net/de/schaftwerkzeuge/steinpoliersets/aqua-polierstift-spitzbogen-grit-3000 	https://shop.aquarus.net/media/images/org/1001004376-006.jpg 	in_stock	Aquarus	1001004376 	no	0.0350 kg	0.0350 kg
1001002577	Frässtifte Set A Hartmetall 10Stk.Schaft 2,35mm 	Hartmetallfräser in Zylinder, Walzen, Kugel und Spitzbogenform 	32.4999948 EUR	new	https://shop.aquarus.net/de/schaftwerkzeuge/fraeser/fraesstifte-set-a-hartmetall-10stk-schaft-2-35mm 	https://shop.aquarus.net/media/images/org/1001002577.jpg 	in_stock	Aquarus	1001002577 	no	0.0800 kg	0.0800 kg
1001002944	OPTIdrill DQ 14 - Tischbohrmaschine 	Separater Not-Halt-Schlagschalter, Messskala für Bohrtiefe, Bohrtisch ± 45° neigbar und 360° drehbar Aus einem Stück gegossener Aluminium- Druckguss-Pinolenhebel mit Softgrip-Griffen, Präzisions-Spindelbohrung, Sicherheitselektrik in 24 V Gleichspannung, Garantierte Rundlaufgenauigkeit kleiner als 0,03 mm in der Bohrpinole gemessen, Bohrspindel mit Präzisionskugellagern Hochwertiges Schnellspannbohrfutter, GATES Qualitätsriemen, Groß dimensionierte Grundplatte mit T-Nuten, rückseitig stark verrippt Lieferumfang OPTIdrill DQ 14 - Tischbohrmaschine Schnellspannbohrfutter 1 - 15,9 mm &amp,  T-Nutensteine 	299.9900036 EUR	new	https://shop.aquarus.net/de/bohren1/bohrmaschinen/optidrill-dq-14-tischbohrmaschine 	https://shop.aquarus.net/media/images/org/1001002944.jpg 	in_stock	Aquarus	1001002944 	no	19.0000 kg	19.0000 kg
1001001015	DiaSin Hohlbohrer ohne Gewinde, 1,5mm 	DiaSin Hohlbohrer ohne Gewinde, 1,5mm 	22.999999999956 EUR	new	https://shop.aquarus.net/de/bohren1/bohrer/diasin-hohllochbohrer/diasin-hohlbohrer-ohne-gewinde-1-5mm 	https://shop.aquarus.net/media/images/org/1001001015.jpg 	in_stock	Aquarus	1001001015 	no	0.0120 kg	0.0120 kg
1001003174	DiaGal Planscheibe 10", grit 80 	Galvanisch belegt Planscheibe, 25cm Durchmesser, Körnung 80, ohne Träger,  Fixierung der Planscheibe auf  Trägerscheibe durch Kleber oder Magnetscheibe möglich, Einsatz auf allen handelsüblichen Flachschleifmaschinen, zum Nassschleifen von Achaten, Quarzen und vielen anderen Mineralien und Edelsteinen geeignet 	61.999999999959 EUR	new	https://shop.aquarus.net/de/schleifwerkzeuge/planscheiben/diagal-planscheibe/planscheibe-10-zoll-25cm/diagal-planscheibe-10-grit-80 	https://shop.aquarus.net/media/images/org/1001003174-004.jpg 	in_stock	Aquarus	1001003174 	no	0.5300 kg	0.5300 kg
1001003175	DiaGal Planscheibe 10", grit 120 	Galvanisch belegt Planscheibe, 25cm Durchmesser, Körnung 120, ohne Träger,  Fixierung der Planscheibe auf  Trägerscheibe durch Kleber oder Magnetscheibe möglich, Einsatz auf allen handelsüblichen Flachschleifmaschinen, zum Nassschleifen von Achaten, Quarzen und vielen anderen Mineralien und Edelsteinen geeignet 	61.999999999959 EUR	new	https://shop.aquarus.net/de/schleifwerkzeuge/planscheiben/diagal-planscheibe/planscheibe-10-zoll-25cm/diagal-planscheibe-10-grit-120 	https://shop.aquarus.net/media/images/org/1001003175-002.jpg 	in_stock	Aquarus	1001003175 	no	0.5300 kg	0.5300 kg
1001003176	DiaGal Planscheibe 10", grit 220 	Galvanisch belegt Planscheibe, 25cm Durchmesser, Körnung 220, ohne Träger,  Fixierung der Planscheibe auf  Trägerscheibe durch Kleber oder Magnetscheibe möglich, Einsatz auf allen handelsüblichen Flachschleifmaschinen, zum Nassschleifen von Achaten, Quarzen und vielen anderen Mineralien und Edelsteinen geeignet 	61.999999999959 EUR	new	https://shop.aquarus.net/de/schleifwerkzeuge/planscheiben/diagal-planscheibe/planscheibe-10-zoll-25cm/diagal-planscheibe-10-grit-220 	https://shop.aquarus.net/media/images/org/1001003175-002.jpg 	in_stock	Aquarus	1001003176 	no	0.5300 kg	0.5300 kg
1001003177	DiaGal Planscheibe 10", grit 600 	Galvanisch belegt Planscheibe, 25cm Durchmesser, Körnung 600, ohne Träger,  Fixierung der Planscheibe auf  Trägerscheibe durch Kleber oder Magnetscheibe möglich, Einsatz auf allen handelsüblichen Flachschleifmaschinen, zum Nassschleifen von Achaten, Quarzen und vielen anderen Mineralien und Edelsteinen geeignet 	61.999999999959 EUR	new	https://shop.aquarus.net/de/schleifwerkzeuge/planscheiben/diagal-planscheibe/planscheibe-10-zoll-25cm/diagal-planscheibe-10-grit-600 	https://shop.aquarus.net/media/images/org/1001003177-003.jpg 	in_stock	Aquarus	1001003177 	no	0.5300 kg	0.5300 kg
